subject,group,band,direction,pipeline,combo_name,n_features,mean_r,mean_prop_explained,t_run,r_trial_1,r_trial_2,r_trial_3,r_trial_4,r_trial_5,r_trial_6,r_trial_7,r_trial_8,r_trial_9,r_trial_10,r_trial_11,r_trial_12,r_trial_13,r_trial_14,r_trial_15,r_trial_16,r_trial_17,r_trial_18,r_trial_19,r_trial_20,r_trial_21,r_trial_22,r_trial_23,r_trial_24,r_trial_25,r_trial_26,r_trial_27,r_trial_28,r_trial_29,r_trial_30,pe_trial_1,pe_trial_2,pe_trial_3,pe_trial_4,pe_trial_5,pe_trial_6,pe_trial_7,pe_trial_8,pe_trial_9,pe_trial_10,pe_trial_11,pe_trial_12,pe_trial_13,pe_trial_14,pe_trial_15,pe_trial_16,pe_trial_17,pe_trial_18,pe_trial_19,pe_trial_20,pe_trial_21,pe_trial_22,pe_trial_23,pe_trial_24,pe_trial_25,pe_trial_26,pe_trial_27,pe_trial_28,pe_trial_29,pe_trial_30
Sub1,Non-musician,delta,encoding,not standardized,envelope,1,0.015418149357620764,-0.34280708383365877,72.23061990737915,0.009456079854152019,-0.03166404070918043,0.04210542052349499,0.046573529241434035,-0.012496488557878117,0.015405300953986635,0.030506957852182787,0.004015824211477308,-0.015557771718301312,0.042530607805361526,0.039131201300576735,-0.027389231738239327,0.03830152252401493,0.035391650891423765,-0.011052963652551111,0.007533380699832342,0.028398188844188713,0.03780575353287087,-0.012118638459380611,0.048493764633226355,-0.027839451563104245,0.003727366687025927,0.04689000166567507,0.0282629053749483,-0.005754039149267298,0.0021830696985869523,0.04506311800433156,0.027938240324381365,-0.0032761241784009312,0.029979345831754146,-0.4633540800648785,-0.29106898367031453,-0.29054254082666164,-0.3267867155560594,-0.27487881887470167,-0.4262313886800654,-0.18694147686062226,-0.41647708984208776,-0.24790172325886078,-0.3753123111478842,-0.3710435928043512,-0.2876320746528753,-0.3982834165516256,-0.2184571349542359,-0.2888366630487218,-0.5170678392496793,-0.293525008424994,-0.2414642849377247,-0.25465605938248725,-0.39022053900974224,-0.3514606034658604,-0.444508598974901,-0.3870760079585368,-0.27995154835126485,-0.30149238886764057,-0.5163244860428668,-0.39726869539254295,-0.35159100929631204,-0.3502895381073137,-0.34356789675395116
Sub1,Non-musician,delta,encoding,not standardized,onsets,1,0.01689419047066258,-0.3071492027408489,62.97797155380249,0.006007394135959713,0.014512290967919903,0.015115603781385508,0.01824815202616756,0.005428154343802978,0.007680448512311209,0.0020553308408704026,0.005340506312604538,0.01401091827039576,0.0602987148171808,-0.011481073676581834,0.009809024446020269,0.051323299630850416,0.009792968382226111,0.007208950342234846,0.011928091693631215,0.013884179709256865,-0.006028489944697598,0.01371211528994019,0.03322971622332679,-0.0010630126555777756,0.022957964041163067,0.06529652517213615,0.009015311611345968,0.009560281065311399,0.03085042492362068,0.055440088873929844,0.0004367632086511632,0.014929110003482233,0.017325961771009153,-0.35941839960898236,-0.23362140861248767,-0.2710311750852758,-0.2872512660510933,-0.2665623091659177,-0.3628100674239812,-0.1727094916658897,-0.3327781845636485,-0.2203589304650977,-0.320994620064629,-0.32484895580613604,-0.24708680721440995,-0.3697494675290163,-0.19190400805469326,-0.2765580964008147,-0.5382723925090781,-0.2626233056190367,-0.1928302415395913,-0.23149931631428242,-0.34878738923582064,-0.3383458559789483,-0.3952034184434756,-0.35216660059975635,-0.2514087463992678,-0.29168750528040416,-0.4861252344652467,-0.34939783386601364,-0.31309874963497575,-0.31814275710250783,-0.3072035475249859
Sub1,Non-musician,delta,encoding,not standardized,pitch,1,0.00319616282956938,-0.37559048619568536,2.7753663063049316,0.016228744356127204,0.0017496377850084405,-0.0029600262424075516,0.0018981298247489,0.008114633510587256,0.001445790292848802,0.0005232181067365452,0.01310807265725998,0.011971515056959574,-0.008996576732440007,-0.0014140031174036183,0.003244697582265585,0.016209974932974238,-0.0047507730921595055,0.007249814811320401,0.018175724167625144,-0.0036851707742537607,-0.0003643923232405056,0.012511046541814785,-0.0006958883299324092,0.00996086091666126,0.00466866250282082,-0.01679331445475984,-0.005554163638238421,0.008637782798307791,-0.00045755967115781434,0.0001827911784783262,-0.0003860884512112698,0.008680581207363269,-0.002618836515622223,-0.4250963629719854,-0.3038780765022634,-0.32975574691734244,-0.3691128477400362,-0.2846531775320968,-0.399252061768418,-0.19402928644099265,-0.41857451514851796,-0.2850339714570672,-0.4457795392557321,-0.348359401841808,-0.31278273007559504,-0.4616575292057094,-0.24404155348873074,-0.3228970914937428,-0.5159912757280578,-0.33828764141295287,-0.2382047654027994,-0.29408920009751766,-0.4621828612821986,-0.35013798000278806,-0.5142045445451714,-0.4932871252162636,-0.3257231991193877,-0.34652991163234437,-0.4955882248762724,-0.49776934646600135,-0.38341959883557913,-0.4373397608905886,-0.4300552585225997
Sub1,Non-musician,delta,encoding,not standardized,centroid,1,0.004393283509325082,-0.352326288012676,11.915809869766235,0.00820829858929171,0.0018110753268129921,0.006056496845525115,0.0030456328997315015,0.0025383061564282494,-0.002022913401685082,0.0021366280415000666,0.010225409327488036,0.0017314009823520143,0.006473458096578673,0.001958689212932664,0.0022567026576666206,0.029190922106886303,-0.0025277676757899555,0.003394577791039185,0.01808159206345076,-0.0007668686736833898,0.0037197415684542875,0.004087162534761566,0.009719055625874417,0.005761467325283306,0.0008794168201123618,0.0013779353976022901,-0.002201328766715167,0.005673829858195238,-0.008379679158184149,0.01075732638492038,-0.0003139662500713206,0.0028175403587137105,0.006108363234280034,-0.4102056359193067,-0.292854452684948,-0.30866047441096345,-0.36256054798445114,-0.2603076162457078,-0.3876866984449153,-0.18680595002708245,-0.4049294712481547,-0.2609205159769049,-0.42060492572173724,-0.3302250273736034,-0.29937335838085694,-0.4283625003972098,-0.23893341152174621,-0.28276144249692914,-0.4970368497864309,-0.3121060536463083,-0.23087877879696686,-0.26467077359000557,-0.43633257452043095,-0.3325369270085956,-0.4856905608000621,-0.45382313014606823,-0.3039489140820444,-0.29762464557916757,-0.49011821099350544,-0.4589020072430803,-0.36450038897049464,-0.37733954782945034,-0.38908724855315113
Sub1,Non-musician,delta,encoding,not standardized,mel,1,0.0038200754039054018,-0.6006007972099686,1467.5064492225647,0.005327803455249525,-0.03988130858407175,0.044430208932446966,0.04299093159244872,-0.035256266294131595,0.01736685378402746,0.039058212614368135,0.0012291079547313536,-0.04340516636250564,0.004576865304676108,0.03817260114100893,-0.03766265645386347,0.005271853872564377,0.040919185396091705,-0.035289593401709236,0.004074327144953253,0.029330885142263,0.03723239971910457,-0.041799417043149385,0.0322708634771286,-0.03118103723273208,-0.010341911370579106,0.0010329742441971183,0.03315900813823161,-0.027952944075736213,0.003058290142523287,0.015464231076057171,0.025467751253790045,-0.02431669460823564,0.021254903158014243,-0.7772853124169544,-0.490244929651664,-0.519798763988543,-0.6167545812149446,-0.4085551387328787,-0.6797853904030025,-0.3162170633145698,-0.7563919481481476,-0.4567656523670333,-0.753679737313584,-0.5766397346525928,-0.46709728474340795,-0.7723800591993544,-0.3897307955833166,-0.45193579491308766,-0.8726674491051446,-0.5165258393385618,-0.39356982680727987,-0.4514090572378936,-0.7397129702542237,-0.5283091003396923,-0.7802115872102081,-0.7948477574371332,-0.4563001650645211,-0.5105070918420709,-0.8392566297112823,-0.775882923592705,-0.6142238891882035,-0.6369415616115051,-0.6743958809155519
Sub1,Non-musician,delta,encoding,not standardized,envelope+onsets,2,0.015879818536659474,-0.3469029425841423,116.04170751571655,0.009454120212886113,-0.026880662192359878,0.03970982306614533,0.04437521190291009,-0.011225270988726204,0.013142524149523183,0.027550945088814435,0.00455325541740515,-0.012467601951423607,0.04609790827910366,0.0350698983747548,-0.02424995607084004,0.04100073923818148,0.03384880881829022,-0.009452147584857719,0.008756847441698171,0.026691167099965784,0.03363597632279049,-0.009672042835254984,0.04788663893378672,-0.02546705237743545,0.00643763919825543,0.05018404922863776,0.026553998421522992,-0.004302315380930081,0.006966312342906803,0.04649898884191408,0.023773511754877564,-0.0001560817341187836,0.028079323081360776,-0.47217395171594656,-0.29381516302614674,-0.2902963372761217,-0.3251616442298156,-0.2754552264725241,-0.43395812963380936,-0.18484151165374527,-0.42641985688353545,-0.24603624122202383,-0.3767682475639913,-0.3730846181375561,-0.2903800407830299,-0.4025584670302252,-0.21358424610416485,-0.28968155982751587,-0.539115538247197,-0.29274745225688725,-0.24067632187467214,-0.2539339547236968,-0.3926911390650206,-0.35619524625037363,-0.4612956678324106,-0.39306900645149545,-0.27767732991034455,-0.3040231133573191,-0.5381971323088711,-0.39923606307896975,-0.3618673984699191,-0.35249690213989576,-0.34965076999704375
Sub1,Non-musician,delta,encoding,not standardized,envelope+pitch,2,0.013216609434389457,-0.34281122311062967,64.23168206214905,0.009839252051087918,-0.020895313818848116,0.03285243971342216,0.036498873289256745,-0.00822634259989167,0.009712145590755925,0.023866480269313383,0.005826222919037193,-0.009628664006502894,0.036290225872777214,0.025296671590846052,-0.01730770584504568,0.035176795519210234,0.026124420852691593,-0.006991430617617089,0.009114166641408218,0.021888169524319823,0.025659945560257517,-0.006594707990876336,0.038741465246032024,-0.015290251416000747,0.004951222204195987,0.03841063536034782,0.020674729020833626,-0.0025030559427742637,0.0016241001504106523,0.037904994875422565,0.019234833464251064,0.00022997374381450718,0.02401799180954831,-0.43812183628196044,-0.2927452839078819,-0.29135448915527556,-0.3268751739903938,-0.2699587595773727,-0.4109088285901612,-0.1843394056000628,-0.4099746617856549,-0.24380329140584445,-0.3765759919058572,-0.36155127491093375,-0.2986037554034767,-0.3987752790301123,-0.21782273559316326,-0.28313383984391605,-0.5170303423022977,-0.2999966094616474,-0.2378693552899978,-0.25363784996209715,-0.3965689857382338,-0.35627476130844293,-0.4663845310177699,-0.39370105643622283,-0.2875195518524739,-0.2980850264899347,-0.5063378077595233,-0.40800524925407833,-0.35666806835592246,-0.35149566743083127,-0.35021722367735175
Sub1,Non-musician,delta,encoding,not standardized,envelope+centroid,2,0.012196231395122,-0.3548022899058348,392.1642036437988,0.00731171262677672,-0.021162767629913665,0.033468256704375914,0.035857287160800964,-0.00935377084810419,0.008515367394958994,0.024014939028555313,0.0045443675555678,-0.012356053882883404,0.0348261259315773,0.025092417382912652,-0.017755043606424492,0.03358255621612147,0.02611022172998058,-0.008043454542113948,0.007758577190508679,0.021270315522028904,0.02552233578586055,-0.009249560735465455,0.038074296833095024,-0.01535399229850961,0.00390772039053551,0.03660697995225321,0.02029794978084113,-0.0034502321345646304,-0.0002648340063690222,0.03598252124572906,0.01813567325161441,-0.0013304902915509485,0.02332752014546522,-0.46301033551499504,-0.30407061284309495,-0.29989780060310806,-0.34200424616075964,-0.272490296708491,-0.42646929902102415,-0.18903282001358782,-0.4329366726207251,-0.2522601739814402,-0.39626752625697237,-0.37177245787891233,-0.30637047090621383,-0.41333435724646495,-0.22712666604304177,-0.28564068867622244,-0.5284641065762986,-0.3085202652947442,-0.24853762481904768,-0.26215489196263936,-0.41269817842649226,-0.36085862680029174,-0.48487636556996905,-0.4099857457540151,-0.29506308166054807,-0.30286059125263015,-0.52532306628349,-0.42257729262723237,-0.37259358020955824,-0.3600878892079935,-0.3667829662550403
Sub1,Non-musician,delta,encoding,not standardized,envelope+mel,2,0.00409504367765825,-0.6161943555848777,1553.9481484889984,0.005244033444454714,-0.04044542264872098,0.04562219248890875,0.043674971005062985,-0.03664119858766606,0.018658711006975495,0.03970654770273517,0.0008701835332212434,-0.043772846050440045,0.005141142372512574,0.0391109677398226,-0.03893260869243738,0.005785591801796644,0.04238474750471709,-0.03649243480529934,0.003983887736183853,0.03081156441938141,0.03810192246803547,-0.042688919755587626,0.033646209770243234,-0.03295116985832831,-0.011972032760944735,0.0035393477631223856,0.034969247065580036,-0.029345902279653484,0.004465733956506551,0.01678228866855268,0.026669489571141562,-0.025329323772273475,0.022254389522144518,-0.8013437789167868,-0.5036237664428462,-0.5305443571018699,-0.6333761559411906,-0.4179792699762366,-0.7009146513858695,-0.32451179793813056,-0.7786634745454086,-0.47092343599326314,-0.7760047113962644,-0.5910260525838072,-0.4787686831171759,-0.7946545585985642,-0.4009246384802513,-0.4598649201896108,-0.8956286087539964,-0.5271992239067501,-0.4053955434065242,-0.46210737266601354,-0.7588466244339278,-0.5413738929925421,-0.7990582252470306,-0.8158478879437736,-0.4640205666276721,-0.5211469515127007,-0.8629658346850135,-0.7943257360513603,-0.6303953629590178,-0.6517978998911438,-0.692596683861591
Sub1,Non-musician,delta,encoding,not standardized,onsets+pitch,2,0.015459683442966467,-0.3445389750718434,325.72224855422974,0.010867033209915767,0.014382504944304054,0.011162434907162372,0.014937059453663179,0.007828925333921792,-0.00010447011497262638,0.0008569761076789185,0.009153212641586264,0.016613080784352897,0.05042937195288258,-0.009545033699179528,0.011298467988396036,0.05080200780460957,0.005860211831490813,0.009667628540512526,0.014667649076339486,0.00960400118283873,-0.007752495629826058,0.01661336682205156,0.02713409799764756,0.007399953800577483,0.020604579774186598,0.05704793207170227,0.004219403279963058,0.011683535931210035,0.020761976498871636,0.0491341954209647,-0.0029591020342241282,0.01942495100367602,0.011997046406690479,-0.4304602052734957,-0.2808870193038281,-0.2807785825262149,-0.30390139146296336,-0.26844434561145214,-0.42130096748073576,-0.17554617745302833,-0.40886005807310466,-0.2322408092958646,-0.3476712050222032,-0.380911231023843,-0.30310078994516126,-0.3870574591841448,-0.19901957947988547,-0.28365289178170494,-0.6187967918610748,-0.2802302824568974,-0.22421111923953735,-0.2452188572978961,-0.38014065338599234,-0.3960801775068451,-0.5071756042264774,-0.3822664629854604,-0.2746812465257529,-0.29802381972031455,-0.5632434565743493,-0.3821365862943733,-0.37893405906353317,-0.3624405474816732,-0.3387568746174895
